,node,synset,Unnamed: 2,aoa,A,k
0,n02672831,Synset('accordion.n.01'),,8.61,40.879754868976995,1.1798837044181743
1,n12267677,Synset('acorn.n.01'),,5.95,31.30834139554771,0.07027502390700764
2,n02690373,Synset('airliner.n.01'),,9.89,72.0909974517855,0.39111719013351043
3,n02692877,Synset('airship.n.01'),,10.8,40.83902720276652,1.5271684925543403
4,n09193705,Synset('alp.n.01'),,11.77,67.54491914682231,0.31293678536126557
5,n02701002,Synset('ambulance.n.01'),,6.16,80.97288368241368,1.1566011723097105
6,n02704792,Synset('amphibian.n.01'),,8.33,39.52470395288408,0.7045325687217479
7,n02219486,Synset('ant.n.01'),,4.32,6.150318220035373,0.08748365524782158
8,n02727426,Synset('apiary.n.01'),,15.31,40.20157172839976,0.12310418615461939
9,n02730930,Synset('apron.n.01'),,6.75,28.519480110161847,0.08032463013808552
10,n02437312,Synset('arabian_camel.n.01'),,,,
11,n02454379,Synset('armadillo.n.01'),,8.61,43.61114537346933,0.5104727358123976
12,n02747177,Synset('ashcan.n.01'),,10.67,14.573142125241594,0.125256097950604
13,n02486410,Synset('baboon.n.01'),,9.11,23.470988766809466,0.905729171622588
14,n02769748,Synset('backpack.n.01'),,5.38,22.37883742202463,0.19746146889780294
15,n07693725,Synset('bagel.n.01'),,8.9,42.446152282952156,0.032422191927477494
16,n02776631,Synset('bakery.n.01'),,7.16,14.998506465473127,0.1914457666837077
17,n02782093,Synset('balloon.n.01'),,4.37,55.59552735428709,0.9667081438311332
18,n09835506,Synset('ballplayer.n.01'),,7.42,43.721540850487656,0.3102900224684636
19,n02783161,Synset('ballpoint.n.01'),,8.38,22.585832111690994,0.06160805005811418
20,n02787622,Synset('banjo.n.01'),,8.44,43.497017715888894,0.07798454414602009
21,n02788148,Synset('bannister.n.02'),,8.44,69.0483426391248,0.1285681435378887
22,n02790996,Synset('barbell.n.01'),,11.17,44.36395440263644,0.6867675683329965
23,n02791270,Synset('barbershop.n.01'),,6.89,27.181156393799924,0.0953815700039656
24,n02793495,Synset('barn.n.01'),,4.5,73.76952470057823,0.847197868646465
25,n02794156,Synset('barometer.n.01'),,11.89,39.1314236309372,0.1608268927244457
26,n02797295,Synset('barrow.n.03'),,,,
27,n02088238,Synset('basset.n.01'),,11.0,51.639244808637805,0.07148644282800563
28,n02804414,Synset('bassinet.n.01'),,9.18,53.87534893546271,0.22928656661612423
29,n02804610,Synset('bassoon.n.01'),,10.38,28.566659106172125,0.135372549010641
30,n02808440,Synset('bathtub.n.01'),,3.22,35.65216776162327,0.5482599412599674
31,n02814860,Synset('beacon.n.03'),,11.37,49.65994328730911,1.3296275626899396
32,n02088364,Synset('beagle.n.01'),,7.39,34.18150318311462,0.08819015080452566
33,n02815834,Synset('beaker.n.01'),,11.25,9.711895444419172,0.586634414416061
34,n02817516,Synset('bearskin.n.02'),,8.89,38.30701725697073,0.2780958073451739
35,n02206856,Synset('bee.n.01'),,5.0,54.7810247241375,0.14547987412790603
36,n02834397,Synset('bib.n.01'),,4.53,33.02308902576445,0.3047900563997947
37,n02841315,Synset('binoculars.n.01'),,6.79,21.335373395425574,0.09284395052926063
38,n02843684,Synset('birdhouse.n.01'),,5.43,47.56712530818301,0.13065249760326753
39,n02410509,Synset('bison.n.01'),,8.11,43.79333367843112,0.6351808435739299
40,n02011460,Synset('bittern.n.01'),,14.5,57.32875047249879,0.295981953980312
41,n02443484,Synset('black-footed_ferret.n.01'),,,,
42,n02088466,Synset('bloodhound.n.01'),,11.32,100.00037698071108,0.0014423145493422593
43,n02859443,Synset('boathouse.n.01'),,10.21,48.68994898349317,0.26899127918210936
44,n02865351,Synset('bolo_tie.n.01'),,,,
45,n02869837,Synset('bonnet.n.01'),,6.83,32.26258663658695,0.3337476140825125
46,n02870880,Synset('bookcase.n.01'),,5.63,62.515974991684764,1.2425940918271394
47,n02871525,Synset('bookshop.n.01'),,6.89,43.098326565095654,0.19655905697892664
48,n02090622,Synset('borzoi.n.01'),,12.0,50.13417363503675,0.1731849797504846
49,n02883205,Synset('bow_tie.n.01'),,,,
50,n02892767,Synset('brassiere.n.01'),,11.0,31.630228254332177,0.19541058716844797
51,n02894605,Synset('breakwater.n.01'),,12.27,48.09252822798548,0.322783051880063
52,n02895154,Synset('breastplate.n.01'),,12.39,48.060354980415745,0.19147188236331977
53,n02906734,Synset('broom.n.01'),,5.5,29.577648251729208,0.09205913612018604
54,n09229709,Synset('bubble.n.01'),,3.79,32.457593476630294,0.016384840663139336
55,n02909870,Synset('bucket.n.01'),,5.61,100.00781922495503,0.005568369795133675
56,n12768682,Synset('buckeye.n.01'),,12.47,34.79786558131346,0.06834978874565448
57,n02910353,Synset('buckle.n.01'),,6.42,39.10928600129939,0.006395088798361376
58,n01560419,Synset('bulbul.n.01'),,17.2,55.989949215625714,0.09396211601463347
59,n01641577,Synset('bullfrog.n.01'),,6.33,38.773445812175126,0.22606304479079448
60,n07880968,Synset('burrito.n.01'),,9.37,25.363522593779134,0.12333672545769771
61,n02018795,Synset('bustard.n.01'),,15.75,56.40679113624095,0.9928733631427676
62,n02930766,Synset('cab.n.03'),,6.94,29.137166375742407,1.338578297245334
63,n02939185,Synset('caldron.n.01'),,,,
64,n02948072,Synset('candle.n.01'),,5.37,24.742060965683535,0.2497857039806101
65,n02951358,Synset('canoe.n.01'),,6.63,68.75942287306376,0.3629775427102943
66,n02963159,Synset('cardigan.n.01'),,10.11,48.833917926504895,0.4955159726834085
67,n02978881,Synset('cassette.n.01'),,6.37,12.573030581151292,0.042163529924313506
68,n02981792,Synset('catamaran.n.01'),,15.55,73.00138846090805,1.363909691168944
69,n02992211,Synset('cello.n.01'),,9.89,45.93647814155161,0.19294516388618
70,n02992529,Synset('cellular_telephone.n.01'),,,,
71,n01784675,Synset('centipede.n.01'),,7.39,26.65520348104532,0.15213832278519593
72,n03000684,Synset('chain_saw.n.01'),,,,
73,n07697313,Synset('cheeseburger.n.01'),,4.78,53.56005771702582,0.3281342059809302
74,n02130308,Synset('cheetah.n.01'),,8.16,73.27807687857259,0.23824360662644986
75,n01592084,Synset('chickadee.n.01'),,9.79,65.30373952943877,0.34866641474911864
76,n03017168,Synset('chime.n.01'),,7.83,100.00001746348407,0.0009007196668286471
77,n02481823,Synset('chimpanzee.n.01'),,7.26,41.275957702532985,0.18733273337813153
78,n02256656,Synset('cicada.n.01'),,11.54,34.27699630244832,1.1203299017605945
79,n03041632,Synset('cleaver.n.01'),,8.94,19.999946709348258,7.027590196897072e-05
80,n09246464,Synset('cliff.n.01'),,7.28,51.69272224433687,0.11516985478955313
81,n03045698,Synset('cloak.n.01'),,6.95,19.121395630509802,0.19927066222519796
82,n03047690,Synset('clog.n.01'),,9.39,4.99711854649389,0.13817150951524246
83,n02102318,Synset('cocker_spaniel.n.01'),,,,
84,n02233338,Synset('cockroach.n.01'),,6.25,25.13111470537888,0.04309948330990257
85,n03063689,Synset('coffeepot.n.01'),,5.53,41.29485763097436,0.10359682711018836
86,n03065424,Synset('coil.n.01'),,9.67,38.96802289944605,0.24346108026054794
87,n02106030,Synset('collie.n.01'),,7.05,70.57616342869119,0.43981071336620176
88,n01677366,Synset('common_iguana.n.01'),,,,
89,n03085013,Synset('computer_keyboard.n.01'),,,,
90,n01943899,Synset('conch.n.01'),,10.5,13.234855646221206,0.06712939516203853
91,n03089624,Synset('confectionery.n.02'),,12.74,58.262877438096226,1.7130505819328683
92,n07584110,Synset('consomme.n.01'),,14.33,54.05789801809133,0.779736539520657
93,n03100240,Synset('convertible.n.01'),,8.53,75.98562932501201,1.8320798930080129
94,n03109150,Synset('corkscrew.n.01'),,7.78,50.310936941641714,0.7604163396023287
95,n03110669,Synset('cornet.n.01'),,,,
96,n02125311,Synset('cougar.n.01'),,8.11,50.191773656019386,0.021463226912327816
97,n02114855,Synset('coyote.n.01'),,6.68,25.195696625709875,0.07578221830839639
98,n03125729,Synset('cradle.n.01'),,5.22,8.94514434425387,0.047069739009067295
99,n03127925,Synset('crate.n.01'),,7.06,26.465174307325043,0.040634104039717206
100,n03131574,Synset('crib.n.01'),,6.05,43.52434145798119,0.23004046955753246
101,n02229544,Synset('cricket.n.01'),,7.72,17.228381825716795,0.04824401666948004
102,n06785654,Synset('crossword_puzzle.n.01'),,,,
103,n03141823,Synset('crutch.n.01'),,7.21,14.689270552221895,1.3055555812985098
104,n03146219,Synset('cuirass.n.01'),,15.86,18.24790746982159,0.2580602517798429
105,n11939491,Synset('daisy.n.01'),,5.55,71.80330890793905,0.7037092033641602
106,n03160309,Synset('dam.n.01'),,6.58,51.668329312296166,0.23274721810485147
107,n03179701,Synset('desk.n.01'),,5.56,54.77702908008881,0.34010105548500047
108,n01755581,Synset('diamondback.n.01'),,10.18,35.402692714502635,0.28788160518551786
109,n03188531,Synset('diaper.n.01'),,3.4,41.53601080733836,0.12410699213915304
110,n02115641,Synset('dingo.n.01'),,11.29,19.10382448016119,0.18683300449187043
111,n03207743,Synset('dishrag.n.01'),,6.33,78.9852450610084,0.9751710277037497
112,n03207941,Synset('dishwasher.n.01'),,7.16,25.682584766553695,0.2115436986639569
113,n03218198,Synset('dogsled.n.01'),,7.71,75.61575587162226,0.8328812597602918
114,n07860988,Synset('dough.n.01'),,6.63,18.605962915297376,0.11851885940458183
115,n02268443,Synset('dragonfly.n.01'),,6.8,55.66361732157076,1.3808006953975702
116,n03249569,Synset('drum.n.01'),,4.63,8.76667986071037,0.48703857991836685
117,n03255030,Synset('dumbbell.n.01'),,7.56,5.492734813309894,0.04415799691536721
118,n07932039,Synset('eggnog.n.01'),,7.45,7.235524131983754,0.977426775649739
119,n03291819,Synset('envelope.n.01'),,6.25,22.02517282479339,0.8959759120915083
120,n02109961,Synset('eskimo_dog.n.01'),,,,
121,n07920052,Synset('espresso.n.01'),,13.26,44.874147236596244,0.46169392656594516
122,n03325584,Synset('feather_boa.n.01'),,,,
123,n02007558,Synset('flamingo.n.01'),,6.32,48.2997118742162,0.146398375457721
124,n01924916,Synset('flatworm.n.01'),,9.28,43.80165684478334,0.3802542935670146
125,n03372029,Synset('flute.n.01'),,8.47,4.222919363696512,0.02865866006335678
126,n02190166,Synset('fly.n.01'),,3.05,45.02335412774489,1.1245713312657637
127,n03384352,Synset('forklift.n.01'),,9.11,47.87462694008534,0.4375867639192101
128,n03388043,Synset('fountain.n.01'),,7.17,54.834847694514956,0.20126003701203388
129,n03400231,Synset('frying_pan.n.01'),,,,
130,n02641379,Synset('gar.n.01'),,,,
131,n03424325,Synset('gasmask.n.01'),,10.47,46.51930747909157,0.03738337615521217
132,n02423022,Synset('gazelle.n.01'),,9.37,37.181648331783116,0.25673845454153466
133,n09288635,Synset('geyser.n.01'),,10.11,83.35391633405888,0.867997928773533
134,n02510455,Synset('giant_panda.n.01'),,,,
