node,synset,,aoa
n02672831,Synset('accordion.n.01'),,8.61
n12267677,Synset('acorn.n.01'),,5.95
n02690373,Synset('airliner.n.01'),,9.89
n02692877,Synset('airship.n.01'),,10.8
n09193705,Synset('alp.n.01'),,11.77
n02701002,Synset('ambulance.n.01'),,6.16
n02704792,Synset('amphibian.n.01'),,8.33
n02219486,Synset('ant.n.01'),,4.32
n02727426,Synset('apiary.n.01'),,15.31
n02730930,Synset('apron.n.01'),,6.75
n02437312,Synset('arabian_camel.n.01'),,
n02454379,Synset('armadillo.n.01'),,8.61
n02747177,Synset('ashcan.n.01'),,10.67
n02486410,Synset('baboon.n.01'),,9.11
n02769748,Synset('backpack.n.01'),,5.38
n07693725,Synset('bagel.n.01'),,8.9
n02776631,Synset('bakery.n.01'),,7.16
n02782093,Synset('balloon.n.01'),,4.37
n09835506,Synset('ballplayer.n.01'),,7.42
n02783161,Synset('ballpoint.n.01'),,8.38
n02787622,Synset('banjo.n.01'),,8.44
n02788148,Synset('bannister.n.02'),,8.44
n02790996,Synset('barbell.n.01'),,11.17
n02791270,Synset('barbershop.n.01'),,6.89
n02793495,Synset('barn.n.01'),,4.5
n02794156,Synset('barometer.n.01'),,11.89
n02797295,Synset('barrow.n.03'),,
n02088238,Synset('basset.n.01'),,11
n02804414,Synset('bassinet.n.01'),,9.18
n02804610,Synset('bassoon.n.01'),,10.38
n02808440,Synset('bathtub.n.01'),,3.22
n02814860,Synset('beacon.n.03'),,11.37
n02088364,Synset('beagle.n.01'),,7.39
n02815834,Synset('beaker.n.01'),,11.25
n02817516,Synset('bearskin.n.02'),,8.89
n02206856,Synset('bee.n.01'),,5
n02834397,Synset('bib.n.01'),,4.53
n02841315,Synset('binoculars.n.01'),,6.79
n02843684,Synset('birdhouse.n.01'),,5.43
n02410509,Synset('bison.n.01'),,8.11
n02011460,Synset('bittern.n.01'),,14.5
n02443484,Synset('black-footed_ferret.n.01'),,
n02088466,Synset('bloodhound.n.01'),,11.32
